,Headline,Links,First Paragraph,Date Published
0,"Get inoculated with Covid-19 vax, PRRD prods Pinoys",https://www.pna.gov.ph/articles/1132643,"MANILA – President Rodrigo Duterte on Thursday encouraged his fellow Filipinos to get inoculated with coronavirus disease 2019 (Covid-19) vaccines, reassuring them that these are “safe” and will play a key role in reopening the Philippine economy.Duterte made the call following the... Read More","March 4, 2021, 11:17 pm"
1,More medical front-liners willing to be inoculated,https://www.pna.gov.ph/articles/1132184,"MANILA – Despite doubts on the legitimacy of the first batch of Covid-19 vaccines in the country, medical front-liners welcomed the government's initiative as they are eager to gain protection from the virus.""I am setting myself as an example as a department manager for the Covid complex... Read More","March 1, 2021, 6:46 pm"
2,PH eyed as next gen Covid vaccine manufacturing site,https://www.pna.gov.ph/articles/1132120,"MANILA – Filipino pharmaceutical firm Glovax Biotech has partnered with a Korean vaccine manufacturer to produce the EuCorVac-19 in the Philippines, should the government purchase 40 million doses of the Covid-19 vaccine.In a statement, Glovax said it is in talks with the Department of Trade... Read More","March 1, 2021, 8:27 am"
3,Saying 'yes' to vaccine an act of charity: Dumaguete bishop,https://www.pna.gov.ph/articles/1130963,DUMAGUETE CITY – Bishop Julito Cortes of the Diocese of Dumaguete has called on the lay faithful to cooperate with the local government units (LGUs) and avail of the vaccination against coronavirus disease 2019 (Covid-19) as an act of charity to one’s neighbor as the Christian world... Read More,"February 18, 2021, 2:18 pm"
4,Gov’t holds full-scale simulation for Covid vaccine arrival,https://www.pna.gov.ph/articles/1130316,MUNTINLUPA CITY – All systems go.This was the consensus of the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF EID) and the National Task Force (NTF) Against Covid-19 officials who took part in a full-scale simulation exercise on Tuesday as the government gears... Read More,"February 10, 2021, 7:24 pm"
5,BOC assures quick release of Covid-19 vax shipments,https://www.pna.gov.ph/articles/1130231,MANILA – The Bureau of Customs (BOC) is ready to facilitate the immediate release of vaccines against coronavirus disease 2019 (Covid-19) once its shipments arrive in the country.“Yes. Ports have already activated one-stop shops to handle vaccine shipments. We will use pre-arrival... Read More,"February 10, 2021, 2:39 pm"
6,"Measles, polio immunization 'dry run' for Covid vaccine rollout",https://www.pna.gov.ph/articles/1129608,"DUMAGUETE CITY – The ongoing Phase 2 of the Measles-Rubella-Oral Polio Vaccine (MR-OPV) Supplement Immunization Activity (SIA) in Negros Oriental will serve as a “dry run” for the rollout of vaccines for the coronavirus disease 2019 (Covid-19).Dr. Socrates Villamor, provincial... Read More","February 4, 2021, 5:09 pm"
7,Drug firm to hold Covid vaccine clinical trial in Bacolod City,https://www.pna.gov.ph/articles/1128767,BACOLOD CITY – The City of Bacolod is among the identified sites in the country to conduct the Phase 3 clinical trials of Janssen Pharmaceutical Companies of Johnson & Johnson for coronavirus disease 2019 (Covid-19) vaccine.City Administrator Em Ang said members of the Emergency Operations... Read More,"January 28, 2021, 10:50 am"
8,PRC eyes nationwide saliva test rollout by Feb. 1,https://www.pna.gov.ph/articles/1128712,"MANILA – Senator Richard J. Gordon, chairman and CEO of the Philippine Red Cross (PRC), disclosed that they are targeting a nationwide rollout of the saliva reverse transcription - polymerase chain reaction (RT-PCR) test by February 1.The PRC officially launched the new system on Monday after... Read More","January 27, 2021, 2:46 pm"
9,Alorica orders 80K doses of AstraZeneca’s Covid vaccine,https://www.pna.gov.ph/articles/1127892,"MANILA – Business process outsourcing (BPO) firm Alorica Inc. will be providing a free coronavirus disease 2019 (Covid-19) vaccine for its employees as it orders 80,000 doses of vaccine from AstraZeneca. Alorica is one of the big companies that signed an agreement with the national... Read More","January 19, 2021, 8:37 pm"
10,Albay awaits nat'l guidelines on Covid-19 vax procurement,https://www.pna.gov.ph/articles/1127688,"LEGAZPI CITY – It’s all systems go.Local government units (LGUs) in Albay have already prepared their respective coronavirus disease (Covid-19) vaccine procurement and inoculation plan while awaiting the national guidelines, Albay Governor Al Francis Bichara on Monday said in a... Read More","January 18, 2021, 8:17 pm"
11,Public urged to trust experts on safety of Covid-19 vaccines,https://www.pna.gov.ph/articles/1127189,"MANILA – Amid reports of vaccine hesitancy, Malacañang on Tuesday urged the public to listen to the real vaccine experts on safety and efficacy of the coronavirus disease 2019 (Covid-19) vaccines.“Magkaroon naman po tayo ng tiwala sa ating mga eksperto na hindi naman po iyan... Read More","January 12, 2021, 8:32 pm"
12,NegOr guv assures Covid vaccine procurement,https://www.pna.gov.ph/articles/1126745,"DUMAGUETE CITY – Negros Oriental Gov. Roel Degamo has reassured his constituents that the provincial government, through its Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID), will be procuring its own coronavirus disease 2019 (Covid-19) vaccines.Capitol... Read More","January 8, 2021, 3:01 pm"
13,PH on track with prep for potential Covid vaccine rollout: WHO,https://www.pna.gov.ph/articles/1126545,"MANILA – The country is on track with the preparation for the introduction and distribution of potential vaccine against the coronavirus disease 2019 (Covid-19), a World Health Organization (WHO) official said Wednesday.""Sa nakikita po namin (What we see), the Philippines is on track in terms... Read More","January 6, 2021, 5:20 pm"
14,Russia starts mass vaccination against coronavirus,https://www.pna.gov.ph/articles/1124082,"MOSCOW – Russia on Monday started mass vaccination against the novel coronavirus throughout the country.The Russians are being immunized with the Sputnik V vaccine, developed by the Gamaleya Research Institute of Epidemiology and Microbiology.People of social professions, including teachers... Read More","December 7, 2020, 9:41 pm"
15,Info drive eyed to build confidence in Covid vaccine,https://www.pna.gov.ph/articles/1123040,"CEBU CITY – A Central Visayas health official on Thursday recommended a wider information drive to educate the people about the efficacy of vaccination against the coronavirus disease (Covid-19).Dr. Mary Jean Loreche, Department of Health (DOH)-Central Visayas chief pathologist and... Read More","November 26, 2020, 5:27 pm"
16,PITC did not offer Covid vaccine procurement: DTI chief,https://www.pna.gov.ph/articles/1122934,MANILA – Department of Trade and Industry (DTI) Secretary Ramon Lopez said it was not the Philippine International Trading Corp. (PITC) that offered procurement for coronavirus disease 2019 (Covid-19) vaccines once these become available. Lopez made the statement after some senators... Read More,"November 25, 2020, 5:54 pm"
17,Russian Sputnik V vaccine 95% efficient: developer,https://www.pna.gov.ph/articles/1122866,"MOSCOW – Interim trial results show the Russian Sputnik V vaccine against the coronavirus disease 2019 (Covid-19) is above 95 percent efficient, the developer said on Tuesday.The current efficiency was reached on Day 42 when recipients have already formed a stable immune response, according to... Read More","November 25, 2020, 12:06 pm"
18,"Poor, vulnerable sectors priority for Covid vaccine: Go",https://www.pna.gov.ph/articles/1119198,MANILA – Senator Christopher “Bong” Go sought updates from Secretary of Health Francisco Duque III on the clinical trials for the coronavirus disease (Covid-19) vaccines in the country during the Senate Committee on Health hearing he chaired on Monday.Go also reminded the... Read More,"October 20, 2020, 6:29 pm"
19,Masks assured ‘to protect' more than vaccine: CDC chief,https://www.pna.gov.ph/articles/1115700,"WASHINGTON – US Centers for Disease Control and Prevention director Robert Redfield said Wednesday that wearing masks may protect individuals against coronavirus disease (Covid-19) more than a vaccine.Speaking at a Senate Appropriations subcommittee hearing, Redfield said face masks are ""the... Read More","September 17, 2020, 1:20 pm"
